repo,verdict,match_ratio,type_ratio,n_gt,phantoms,missed,type_errors,path_ambiguities,has_compose,has_compose_build,selected_compose,port_verifiable,port_ok,entry_verifiable,entry_ok
HotPotatoC_mern-markdown-blog,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,0
IncridableAcuman_movie-time,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,1,1,1
Inexpediency_mern-docker,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yml,2,0,2,2
JaganKaartik_Foodle,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,0
JaguarsCodehub_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,0
Javi0894_MERN-Docker-Compose,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
JaydeepDebnath_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Jayvirrathi_mern-docker,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
Karandeep9045_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Keerthan2006_mern-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
Ksc97_mern-docker-compose,correct,1.0000,1.0000,3,0,0,0,0,1,1,mern/docker-compose.yaml,2,1,2,0
KuShivam045_mern-docker-composer,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Learning-full-stack-javascript-development-mongodb-node-and-react,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,0
Lekhan2004_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,0,0
Luffy-021_MERN-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
MBSKR_Mern-Docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
MERN,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,0
MERN--Boilerplate,wrong,0.0000,1.0000,1,1,1,0,0,0,0,,0,0,0,0
MERN-Store,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
MERN-boilerplate,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,0,0
MERN_STACK_BOILERPLATE,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
MERN_shop,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
MGRN-Template,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
Maheshbharambe45_Mern-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,0
Manthan-kawath_Docker-compose-MERN,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Mayukh10_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
MdShimulMahmud_goal-projects,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,1,1,1,0
Meerasachp_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Megatron-XCoder_DASMedhub,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
Mernless,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker/docker-compose.yml,0,0,0,0
Mihisara29_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
MongoNodeReactBack,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,1
Mp886_MERN--Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,mern/docker-compose.yaml,2,2,0,0
MrAalu_LibraryManagementSystem_MERN-with-Book-Recommendation-Algorithm,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,0
Murtaza-khan01_MERN-Stack-Application-with-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,1,0
NamanAg30_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Narendhiran-B_Docker-Compose-MERN,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Nitin201_three-tire-MERN-stack-application-for-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Parvez-Shaik-6_Containarizatio-of-MERN3tier-Using-DockerCompose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,0,0
Piterson25_Flybooker,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
PlacementCell,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,1,1,1,0
Pokemon-Full-Stack-Application,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
Prasanna-1010-AWS_Docker-Compose-Mern,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
REALTIME-DASHBOARD-WEBSOCKET-TEST,mostly_correct,1.0000,1.0000,2,1,0,0,0,1,1,docker/docker-compose.yml,2,2,1,1
RYAN-REGO_Docker_app,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
RaY8118_Hospital_Management_System,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yml,3,0,1,1
